internet-sites-in-microsoft-azure-using-sharepoint-server-2013, 0d93ff4a-8fbd-42b8-9227-d817dba0046d, $$CURRENTPATH$/0d93ff4a-8fbd-42b8-9227-d817dba0046d, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/hybrid-solutions/internet-sites-in-microsoft-azure-using-sharepoint-server-2013
subscriptions-licenses-and-user-accounts-for-the-contoso-corporation, ec3b08f0-288c-4ba3-b822-dbf6352fa761, $$CURRENTPATH$/ec3b08f0-288c-4ba3-b822-dbf6352fa761, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/contoso-in-the-microsoft-cloud/subscriptions-licenses-and-user-accounts-for-the-contoso-corporation
base-configuration-dev-test-environment, 6fcbb50c-ac68-4be7-9fc5-dd0f275c1e3d, $$CURRENTPATH$/6fcbb50c-ac68-4be7-9fc5-dd0f275c1e3d, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/cloud-adoption-test-lab-guides-tlgs/base-configuration-dev-test-environment
protect-sharepoint-online-files-with-office-365-labels-and-dlp, c9f837af-8d71-4df1-a285-dedb1c5618b3, $$CURRENTPATH$/c9f837af-8d71-4df1-a285-dedb1c5618b3, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/security-solutions/secure-sharepoint-online-sites-and-files/protect-sharepoint-online-files-with-office-365-labels-and-dlp
using-microsoft-azure-active-directory-for-sharepoint-2013-authentication, bef810a4-53f6-4962-878e-e20b5019baeb, $$CURRENTPATH$/bef810a4-53f6-4962-878e-e20b5019baeb, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/hybrid-solutions/using-microsoft-azure-active-directory-for-sharepoint-2013-authentication
deploy-high-availability-federated-authentication-for-office-365-in-azure, 34b1ab9c-814c-434d-8fd0-e5a82cd9bff6, $$CURRENTPATH$/34b1ab9c-814c-434d-8fd0-e5a82cd9bff6, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/hybrid-solutions/deploy-high-availability-federated-authentication-for-office-365-in-azure/deploy-high-availability-federated-authentication-for-office-365-in-azure
microsoft-hybrid-cloud-for-enterprise-architects, 54deae50-9442-4b6a-bd86-e5edb0ec6d74, $$CURRENTPATH$/54deae50-9442-4b6a-bd86-e5edb0ec6d74, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/microsoft-hybrid-cloud-for-enterprise-architects/microsoft-hybrid-cloud-for-enterprise-architects
hybrid-cloud-scenarios-for-azure-iaas, 978f2b76-5aba-4e11-9434-f0efda987be1, $$CURRENTPATH$/978f2b76-5aba-4e11-9434-f0efda987be1, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/microsoft-hybrid-cloud-for-enterprise-architects/hybrid-cloud-scenarios-for-azure-iaas
hybrid-cloud-overview, 3ea3ee10-411e-4690-b9e5-f1b46f1f4d59, $$CURRENTPATH$/3ea3ee10-411e-4690-b9e5-f1b46f1f4d59, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/microsoft-cloud-it-architecture-resources/microsoft-hybrid-cloud-for-enterprise-architects/hybrid-cloud-overview
cloud-adoption-and-hybrid-solutions, be3a216c-af59-4c7f-929f-f2351fde5618, $$CURRENTPATH$/be3a216c-af59-4c7f-929f-f2351fde5618, $$NEWPATH$$/SpSqBi15itpro/cloud-adoption-and-hybrid-solutions/cloud-adoption-and-hybrid-solutions
